Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather,2006,2-17-2006,4:32 a.m.,2-17-2006,12:00 p.m.,National Grid- NY  (Niagara Mohawk Power Corp),Upstate New York,NPCC,250,200000,severe weather
Hurricane Rita,2005,9-24-2005,6:00 a.m.,10-2-2005,5:00 p.m.,TXU Electric Delivery Company,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",ERCOT,260,200000,"severe weather, hurricane-tropical storm"
High Winds-Tornados,2005,9-21-2005,7:00 p.m.,9-27-2005,11:00 p.m.,Xcel Energy- Northern States  Power,Minnesota,MRO,N-A,200000,"severe weather, tornado"
Hurricane Charley,2004,8-13-2004,1:30 p.m.,8-13-2004,12 a.m.,Seminole Electric Cooperative,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",FRCC,700,200000,"severe weather, hurricane-tropical storm"
Severe Thunderstorms,2004,7-21-2004,5:30 p.m.,7-22-2004,7:00 p.m.,Commonwealth Edison,"Chicago, Illinois",MAIN,Approx. 200,200000,"severe weather, thunderstorm"
High Winds,2003,12-4-2003,7:00 a.m.,12-8-2003,7:00 a.m.,Puget Sound Energy,Eastern portions of King County and Pierce County,WECC,175,200000,"severe weather, wind"
Severe Weather,2011,8-26-2011,12:30 AM,8-28-2011,12:30 AM,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,N-A,200717,severe weather
Severe Weather,2011,7-28-2011,12:14 AM,7-29-2011,12:00 PM,Exelon Corporation-ComEd,"Entire ComEd Territory, Indiana",RFC,UNK,201000,severe weather
Strong Thunderstorm-High Winds,2005,6-5-2005,2:00 p.m.,6-10-2005,7:30 a.m.,DTE Energy,Southeast  Michigan,ECAR,"1,826",201580,"severe weather, thunderstorm"
Severe Weather,2011,10-26-2011,5:00 AM,10-27-2011,3:00 PM,Public Service Company of Colorado,"Denver  Ft. Collins, Colorado",WECC,UNK,204000,severe weather
Severe Weather- Thunderstorms,2012,6-30-2012,1:15 AM,7-7-2012,5:33 PM,Atlantic City Electric,Atlantic City Electric Service Territory New Jersey,RFC,UNK,205000,"severe weather, thunderstorm"
Severe Storm,2004,3-7-2004,6:30 p.m.,3-9-2004,8:00 a.m.,Duke Energy Company-Duke Power Control Area,North and South Carolina,SERC,"1,000",206000,"severe weather, storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,12:00 AM,11-9-2012,11:59 PM,FirstEnergy Corp: Mon Power Company,West Virginia,RFC,0,208000,"severe weather, hurricane-tropical storm"
Winter Storm,2011,1-26-2011,5:00 PM,1-31-2011,8:00 AM,Potomac Electric Power Co- PEPCO Holdings Inc.,"Montgomery and Prince George's County, Maryland and District of Columbia",RFC,N-A,210000,"severe weather, winter storm"
Severe Weather,2006,5-25-2006,7:50 p.m.,5-27-2006,9:00 a.m.,"Duke Energy- Ohio, Kentucky, Indiana","Southwest Ohio, Northern Kentucky, Central Indiana",RFC,800,210000,severe weather
Wind Storm,2008,12-28-2008,4:45 a.m.,12-31-2008,6:00 p.m.,Consumers Energy,Michigan Lower Peninsula,RFC,N-A,210517,"severe weather, wind"
Winter Storm,2005,4-1-2005,Midnight,4-6-2005,12:00 p.m.,Cleveland Electric Illuminating Company-First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,N-A,211000,"severe weather, winter storm"
Winter Storm,2005,1-4-2005,6:00 p.m.,1-14-2005,12:00 p.m.,Westar Energy,Eastern one third of the state of Kansas,SPP,200,211000,"severe weather, winter storm"
Hurricane Dolly,2008,7-23-2008,5:56 a.m.,7-31-2008,4:00 a.m.,American Electric Power,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",TRE,703,211266,"severe weather, hurricane-tropical storm"
High Winds,2008,2-10-2008,11:00 a.m.,2-10-2008,11:36 p.m.,PJM Interconnection LLC,"Virginia, West Virginia, Ohio, Pennsylvania",RFC,N-A,212560,"severe weather, wind"
Winter Storm,2011,2-2-2011,3:00 AM,2-4-2011,11:59 PM,Exelon Corporation-PECO,"Philadelphia area, Pennsylvania",RFC,UNK,213000,"severe weather, winter storm"
Ice Storm,2007,2-24-2007,7:23 p.m.,2-25-2007,12:47 a.m.,Midwest ISO,"Cedar Rapids, Iowa",RFC,750,215000,"severe weather, winter storm"
Severe Weather,2011,5-23-2011,4:45 PM,5-25-2011,11:59 PM,Duke Energy Midwest,"Central, Indiana",RFC,"1,024",215387,severe weather
Ice Storm,2009,1-27-2009,9:00 p.m.,1-29-2009,6:00 a.m.,Arkansas Electric Cooperative Corporation,Northern Arkansas,SERC,600,215700,"severe weather, winter storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,12:00 PM,11-4-2012,11:00 PM,FirstEnergy Corp: Jersey Central Power & Light,New Jersey,RFC,Unknown,217000,"severe weather, hurricane-tropical storm"
Winter Storm,2009,3-1-2009,10:00 p.m.,3-3-2009,6:00 p.m.,Dominion Virginia-North Carolina Power,Central Virginia- Spotsylvania County,SERC,210,217000,"severe weather, winter storm"
Severe Weather,2011,5-26-2011,6:30 PM,5-28-2011,4:44 AM,Southern Company,"Southern Balancing Area, Georgia",SERC,729,218783,severe weather
Severe Weather- Hurricane Sandy,2012,10-29-2012,5:13 PM,10-31-2012,11:00 AM,Baltimore Gas & Electric Company,Greater Baltimore Maryland,RFC,0,219000,"severe weather, hurricane-tropical storm"
Severe Weather- Thunderstorms,2013,8-16-2013,4:58 PM,8-17-2013,11:58 PM,CenterPoint Energy,Houston Service Area Texas,TRE,Unknown,219681,"severe weather, thunderstorm"
Severe Weather,2011,8-27-2011,11:05:00 p.m.,8-29-2011,3:30 PM,Pepco,District of Columbia  Maryland,RFC,N-A,220000,severe weather
Severe Weather,2011,4-16-2011,2:16 PM,4-17-2011,4:30 PM,Progress Energy Carolinas Inc,Central and Eastern North Carolina,SERC,UNK,220000,severe weather
Winter Storm,2010,2-5-2010,3:00 p.m.,2-13-2010,4:00 PM,Atlantic City Electric,Southern NJ,RFC,N-A,221000,"severe weather, winter storm"
Winter Storm,2010,2-9-2010,6:00 p.m.,2-14-2010,4:00 PM,Exelon Corporation,Southeastern Pennsylvania,RFC,N-A,223000,"severe weather, winter storm"
Ice Storm,2002,11-17-2002,6:00 AM,11-21-2002,8:00 AM,Northeast Utilities,Northwest and North Central Connecticut,NPCC,NA,224912,"severe weather, winter storm"
Ice Storm,2007,1-13-2007,5:00 a.m.,1-19-2007,12:00 p.m.,Ameren Corporation,Missouri and Illinois,MRO,N-A,225000,"severe weather, winter storm"
Shed Firm Load,2006,8-3-2006,2:16 p.m.,8-3-2006,2:46 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,369,227480,load shedding
Hurricane Dennis,2005,7-10-2005,8:00 a.m.,7-12-2005,8:00 a.m.,Southern Company,"Alabama, Mississippi, Florida, Georgia",SERC,45,228102,"severe weather, hurricane-tropical storm"
Wind Storm,2008,12-28-2008,11:45 a.m.,12-28-2008,11:30 p.m.,Midwest ISO,Michigan Lower Peninsula,RFC,N-A,230000,"severe weather, wind"
Winter Storm,2009,1-28-2009,3:00 a.m.,2-13-2009,8:03 a.m.,Midwest ISO,"Illinois, Indiana, Ohio and Kentucky",RFC,N-A,230300,"severe weather, winter storm"
Severe Weather- Winter Storm,2013,3-6-2013,8:22 AM,3-7-2013,10:27 AM,Dominion Virginia Power,Northwest Virginia,SERC,400,233000,"severe weather, winter storm"
Winter Storm,2011,1-26-2011,6:28 PM,1-29-2011,5:00 PM,Baltimore Gas and Electric Company,Maryland,RFC,N-A,234326,"severe weather, winter storm"
Severe Thunderstorms,2008,6-17-2008,9:01 a.m.,6-19-2008,8:30 p.m.,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,N-A,234393,"severe weather, thunderstorm"
Severe Storm,2007,12-23-2007,1:00 a.m.,12-23-2007,9:00 p.m.,Exelon Corporation West ComEd,The Entire ComEd Service Territory,RFC,N-A,237000,"severe weather, storm"
Hurricane Isabel,2003,9-18-2003,2:00 p.m.,9-24-2003,12:00 a.m.,Allegheny Power,"Maryland, West Virginia, Virginia and Pennsylvania",MAAC,"3,085",237366,"severe weather, hurricane-tropical storm"
Severe Weather,2000,5-2-2000,4:00 a.m.,5-2-2000,12:00:00 PM,Reliant Energy HL&P,"Houston, TX",ERCOT,NA,238000,severe weather
Hurricane Ike,2008,9-13-2008,12:00 p.m.,9-15-2008,8:00 a.m.,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,N-A,238392,"severe weather, hurricane-tropical storm"
Severe Weather,2000,8-6-2000,4:00 p.m.,8-7-2000,12:00:00 PM,Commonwealth Edison,Illinois,MAIN,None,239567,severe weather
Severe Weather,2008,7-2-2008,3:00 p.m.,7-6-2008,12:00 p.m.,Consumers Energy,Lower 2-3 of Michigan's Lower Peninsula,RFC,125,239663,severe weather
Severe Weather- Thunderstorms,2013,3-18-2013,7:30 PM,3-20-2013,2:30 PM,Southern Company,North-Central Alabama  Georgia,SERC,800,240000,"severe weather, thunderstorm"
Winter Storm,2003,12-28-2003,9:00 p.m.,1-1-2004,11:30 a.m.,Pacific Gas and Electric,Northern California,WECC,160,241000,"severe weather, winter storm"
High Winds,2007,4-16-2007,2:04 p.m.,4-16-2007,7:03 p.m.,Dominion- Virginia Power-North Carolina,"North, East and Central Virginia-Parts of Northeast North Carolina",SERC,90,242000,"severe weather, wind"
Severe Weather- Winter Storm,2012,12-25-2012,12:45 AM,12-28-2012,4:15 PM,Entergy,Arkansas  Louisiana  Mississippi  Texas,SPP,Unknown,242509,"severe weather, winter storm"
Hurricane Lily,2002,10-3-2002,3:33 AM,10-12-2002,,Entergy Corporation,Coastal Areas of Southern Louisiana,SPP,NA,242910,"severe weather, hurricane-tropical storm"
Strong Thunderstorms,2005,5-8-2005,3:00 p.m.,5-8-2005,10:00 p.m.,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,672,243000,"severe weather, thunderstorm"
Severe Storm,2009,6-19-2009,1:00 p.m.,6-19-2009,11:59 p.m.,Exelon Corporation ComEd,The Entire ComEd Service Territory,SERC,N-A,245000,"severe weather, storm"
Wind Storm,2003,11-12-2003,5:00 p.m.,11-16-2003,6:00 p.m.,Consumers Energy,Lower Michigan Peninsula,ECAR,75-90,245000,"severe weather, wind"
Wind Storm,2008,9-14-2008,5:00 p.m.,9-22-2008,3:20 a.m.,Cleveland Electric Illuminating Company,Northeast Ohio,RFC,430,245164,"severe weather, wind"
Hurricane Gustav,2008,9-1-2008,11:45 a.m.,9-10-2008,4:00 p.m.,Cleco Power LLC,"Bayou Division and North Lake Division, Louisiana",SERC,N-A,246092,"severe weather, hurricane-tropical storm"
Ice Storm,2005,1-5-2005,4:00 p.m.,1-13-2005,6:00 p.m.,Ohio Edison-First Energy,Akron and Mansfield areas,ECAR,250,246990,"severe weather, winter storm"
Wind Storm,2008,12-27-2008,4:00 p.m.,1-1-2008,11:30 p.m.,DTE Energy,Southeastern Michigan,RFC,N-A,247847,"severe weather, wind"
Severe Thunderstorms,2004,5-21-2004,1:00 p.m.,5-25-2004,12:00 p.m.,Consumers Energy,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",ECAR,200,248209,"severe weather, thunderstorm"
Severe Storms,2008,6-10-2008,6:00 p.m.,6-14-2008,11:30 a.m.,Public Service Electric and Gas,"Bergen, Essex and Hudson Counties, New Jersey",RFC,N-A,248800,"severe weather, storm"
Lightning Storm,2008,6-4-2008,3:00 p.m.,6-5-2008,1:00 a.m.,Potomac Electric Power Company,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",RFC,N-A,249408,"severe weather, thunderstorm"
High Winds,2006,12-14-2006,7:00 p.m.,12-17-2006,8:00 p.m.,Portland General Electric,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",WECC,N-A,249500,"severe weather, wind"
Snow Storm,2006,10-12-2006,5:48 p.m.,10-23-2006,12:00 a.m.,Niagara Mohawk Power Corporation,Western New York State,NPCC,600,250000,"severe weather, winter storm"
Severe Thunderstorm- Snow-Ice Storm,2006,2-16-2006,12:00 p.m.,2-20-2006,11:00 p.m.,Consumers Energy,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,100,252089,"severe weather, winter storm"
Thunderstorms,2008,6-4-2008,3:04 p.m.,6-5-2008,9:30 p.m.,Dominion-Virginia Power,Northern Virginia,SERC,850,253800,"severe weather, thunderstorm"
Interruption of Firm Load,2002,2-27-2002,10:48 AM,2-27-2002,11:35 AM,San Diego Gas & Electric,California,WECC,300,255000,load shedding
Severe Weather,2011,4-5-2011,2:00 AM,4-7-2011,11:00 PM,Duke Energy Carolinas,"North Carolina, South Carolina",SERC,"1,200",256000,severe weather
Ice Storm,2007,12-10-2007,3:08 a.m.,12-19-2007,8:00 a.m.,American Electric Power,"Tulsa, Oklahoma",SPP,N-A,256663,"severe weather, winter storm"
Two Large Units Tripped,2004,8-9-2004,8:23 a.m.,8-9-2004,11:10 a.m.,Puerto Rico Electric Power Authority,Whole Island of Puerto Rico,PR,451.7,259478,generator trip
Shed Firm Load,2008,11-11-2008,8:30 a.m.,11-11-2008,12:19 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,250,261000,load shedding
"Severe Weather- Cold Front, High Winds",2012,12-25-2012,9:28 AM,12-26-2012,4:28 PM,CenterPoint Energy,"Houston, Texas",TRE,294,262000,"severe weather, cold, wind"
Generator Trip  Load Shed,2013,3-18-2013,5:21 AM,3-18-2013,5:41 AM,Puerto Rico Electric Power Authority,Systemwide Puerto Rico,PR,350,262937,"load shedding, generator trip"
Winter Storm,2004,1-1-2004,7:30 a.m.,1-2-2004,4:00 p.m.,Pacific Gas and Electric Company,Northern California,WECC,170,263000,"severe weather, winter storm"
Severe Weather,2011,8-27-2011,10:00 PM,8-29-2011,10:00 PM,Exelon Corporation - PECO,Pennsylvania,RFC,N-A,264000,severe weather
Severe Weather- Thunderstorms,2012,6-29-2012,6:24 PM,7-6-2012,10:00 AM,FirstEnergy (Mon Power),West Virginia,RFC,700,265000,"severe weather, thunderstorm"
Hurricane Frances,2004,9-4-2004,10:00 a.m.,9-12-2004,7:00 p.m.,Tampa Electric Company,"Hillsborough, Pasco, and Polk County, Florida",FRCC,"1,100",268000,"severe weather, hurricane-tropical storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,4:00 PM,11-7-2012,11:48 PM,FirstEnergy Corp: Met-Ed,Eastern Pennsylvania,RFC,0,270000,"severe weather, hurricane-tropical storm"
Ice Storm,2002,1-29-2002,Evening,NA,,Kansas City Power & Light,Metropolitan Kansas City Area,SPP,500-600,270000,"severe weather, winter storm"
Severe Thunderstorm,2005,11-12-2005,11:00 p.m.,11-14-2005,11:59 p.m.,Consumers Energy,Western and Central portions of Michigan's Lower Peninsula,ECAR,408,272355,"severe weather, thunderstorm"
Ice Storm,2011,1-31-2011,10:00 PM,2-3-2011,12:00 PM,Duke Energy Midwest,Southwestern Ohio and Indiana,RFC,996,272880,"severe weather, winter storm"
Severe Thunderstorms,2009,2-11-2009,6:00 p.m.,2-13-2009,5:00 p.m.,American Electric Power,"Kentucky, West Virginia and Ohio",RFC,N-A,279813,"severe weather, thunderstorm"
Substation Load Interruption,2009,4-23-2009,5:54 p.m.,4-23-2009,7:58 p.m.,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,512,280000,load shedding
Severe Thunderstorms,2004,5-21-2004,2:00 a.m.,5-24-2004,12:00 a.m.,Ohio Edison,Akron and Youngstown areas,ECAR,"133 on 5-21-04  between 3:00 a.m. and 4:00  a.m., 392 on 5-21-04 between 4:00 p.m. and 5:00 p.m.",281000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2013,6-13-2013,4:08 PM,6-14-2013,5:16 PM,Dominion Virginia Power,"Richmond Metro area, Virginia",SERC,900,283000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2013,6-24-2013,7:30 PM,6-25-2013,5:46 PM,Exelon Corporation-ComEd,Illinois,RFC,Unknown,283451,"severe weather, thunderstorm"
Severe Weather,2011,8-28-2011,2:58 AM,8-30-2011,2:58 AM,PPL Electric Utilities,Eastern and Northeastern Pennsylvania,RFC,110,284000,severe weather
High Winds,2010,10-27-2010,8:00 a.m.,10-29-2010,7:00 AM,Consumers Energy,Michigan's Northerly Lower Peninsula,RFC,240,285000,"severe weather, wind"
Hurricane Jeanne,2004,9-26-2004,2:00 a.m.,9-27-2004,12:00 a.m.,Tampa Electric Company,"Hillsborough, Pasco, and Polk County, Florida",FRCC,"1,250",285300,"severe weather, hurricane-tropical storm"
Severe Weather,2011,8-27-2011,2:57 AM,8-29-2011,11:30 PM,Progress Energy Carolinas,Eastern North Carolina,SERC,UNK,285465,severe weather
Tropical Storm Cindy,2005,7-5-2005,9:00 p.m.,7-6-2005,9:00 a.m.,Entergy Corporation,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,unknown,287000,"severe weather, hurricane-tropical storm"
Shed Firm Load,2010,3-31-2010,11:59 p.m.,4-1-2010,12:55 AM,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,324,290000,load shedding
Earthquakes,2006,10-15-2006,7:09 a.m.,10-16-2006,2:55 p.m.,"Hawaiian Electric Company, Inc.",Island of Oahu,HECO,"1,170",291000,earthquake
Lightning,2008,12-26-2008,6:13 p.m.,12-27-2008,5:00 p.m.,"Hawaiian Electric Company, Inc.","Island of Oahu, Hawaii",HI,"1,060",294000,"severe weather, thunderstorm"
Severe Weather,2010,7-25-2010,3:10 p.m.,7-30-2010,11:30 PM,Potomac Electric Power Co,"Washington, DC Region",RFC,N-A,297700,severe weather
Severe Thunderstorms,2011,6-21-2011,9:45 PM,6-23-2011,2:00 AM,Exelon Corporation-ComEd,Illinois,RFC,UNK,300000,"severe weather, thunderstorm"
Severe Weather,2010,6-23-2010,5:00 p.m.,6-25-2010,1:40 PM,Commonwealth Edison,"Chicago, IL",RFC,N-A,300000,severe weather
Brush Fire-Load Shedding,2007,10-22-2007,2:05 p.m.,10-22-2007,2:22 p.m.,California Independent System Operator,Southern California,WECC,700,300000,"wild fire, load shedding"
Major Storms,2007,7-10-2007,11:00 a.m.,7-12-2007,6:00 a.m.,National Grid- NY,Eastern New York,NPCC,650,300000,"severe weather, storm"
Severe Storms,2007,5-2-2007,1:30 p.m.,5-3-2007,8:00 p.m.,Oncor Electric Delivery Company,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River",ERCOT,-,300000,"severe weather, storm"
Strong Thunderstorm,2005,6-8-2005,4:00 a.m.,6-10-2005,10:00 p.m.,Xcel Energy- Northern States Power,Minnesota,MRO,50-100,300000,"severe weather, thunderstorm"
Wild Fire _ Transmission Equipment,2003,12-1-2003,6:16 p.m.,12-1-2003,8:11 p.m.,REMVEC,Cape Cod and part of SE Massachusetts,NPCC,630,300000,
Severe Thunderstorms,2004,5-21-2004,4:00  p.m.,5-24-2004,8:00 p.m.,Detroit Edison,Southeast Michigan,ECAR,630,300000,"severe weather, thunderstorm"
Severe Weather,2011,4-4-2011,9:00 PM,4-5-2011,11:30 PM,Southern Company,"Alabama, Florida, Georgia, Mississippi",SERC,674,303434,severe weather
Hurricane Wilma,2005,10-24-2005,8:00 p.m.,11-2-2005,4:30 p.m.,Allegheny Power,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,400,303795,"severe weather, hurricane-tropical storm"
Severe Weather,2011,10-29-2011,8:59 AM,11-7-2011,7:58 PM,Metropolitan Edison Company,Pennsylvania,RFC,UNK,312359,severe weather
Severe Lightning Storms,2006,7-16-2006,2:00 p.m.,7-21-2006,12:00 a.m.,Consumers Energy,Middle 1-3 of Michigan Lower Peninsula,RFC,150,315000,"severe weather, thunderstorm"
Generation Inadequacy  Load Shed,2011,9-21-2011,2:37 PM,9-21-2011,3:47 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,319616,load shedding
Severe Weather- Thunderstorms,2012,7-1-2012,1:00 PM,7-3-2012,3:00 PM,Exelon Corporation-ComEd,Illinois,RFC,Unknown,320000,"severe weather, thunderstorm"
Hurricane Katrina,2005,8-29-2005,3:50 p.m.,9-10-2005,12:00 p.m.,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,118.5,323529,"severe weather, hurricane-tropical storm"
Severe Weather- Thunderstorms,2012,8-4-2012,5:30 PM,8-5-2012,12:10 PM,Exelon Corporation-ComEd,Northeast Illinois,RFC,Unknown,325000,"severe weather, thunderstorm"
Severe Weather- Ice and Snow Storm,2013,11-17-2013,7:00 AM,11-20-2013,6:54 PM,Detroit Edison Co,Michigan,RFC,Unknown,325325,"severe weather, winter storm"
Severe Weather- Thunderstorms,2012,7-24-2012,7:30 AM,7-24-2012,10:00 PM,Exelon Corporation-ComEd,Northern Illinois,RFC,Unknown,330000,"severe weather, thunderstorm"
Tropical Storm Ernesto,2006,9-1-2006,6:41 a.m.,9-3-2006,3:25 p.m.,Dominion- Virginia Power-North Carolina Power,Virginia and North Carolina,SERC,500,333000,"severe weather, hurricane-tropical storm"
Tropical Storm Ida,2009,11-12-2009,6:45 p.m.,11-14-2009,4:25 a.m.,Dominion VirginiaPower-Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,400,335000,"severe weather, hurricane-tropical storm"
Tropical Storm,2010,9-7-2010,2:02 p.m.,9-8-2010,1:27 AM,CPS Energy,"San Antonio, Texas",TRE,N-A,340350,"severe weather, hurricane-tropical storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,4:00 PM,11-5-2012,11:59 PM,FirstEnergy Corp: CEI,Greater Cleveland Ohio,RFC,0,346000,"severe weather, hurricane-tropical storm"
Thunderstorms,2010,6-24-2010,3:30 p.m.,6-29-2010,11:59 PM,PECO,Southeastern Pennsylvania,RFC,N-A,355000,"severe weather, thunderstorm"
Lightning Storm,2008,6-6-2008,3:18 p.m.,6-12-2008,8:00 a.m.,Consumers Energy,Lower 2-3 of Michigan's Lower Peninsula,RFC,100,358000,"severe weather, thunderstorm"
Major Freezing Rain and Ice Storm,2004,12-23-2004,3:37 a.m.,12-31-2004,11:00 p.m.,American Electric Power,Columbus District,ECAR,800,359171,"severe weather, winter storm"
High Winds and Rain,2010,3-13-2010,6:00 p.m.,3-20-2010,12:59 PM,Public Service Electric & Gas Company,"Southern, Central and Northern New Jersey",RFC,100,360000,"severe weather, wind, rain"
Ice-Wind Storm,2007,2-13-2007,2:00 p.m.,2-16-2007,12:00 a.m.,Duke Energy Midwest,Indiana and Southwest Ohio,RFC,250,367500,"severe weather, winter storm"
Severe Weather- Winter Storm,2014,3-7-2014,3:30 AM,3-7-2014,9:00 PM,Duke Energy Carolinas,"Triad, North Carolina",SERC,1500,370900,"severe weather, winter storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,6:48 PM,11-4-2012,11:36 AM,Iberdrola USA (NYSEG),New York,NPCC,Unknown,371000,"severe weather, hurricane-tropical storm"
Voltage Reduction,2012,9-26-2012,9:16 PM,9-26-2012,10:18 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,371526,voltage reduction
Generator Loss-Voltage Reduction,2005,2-18-2005,8:16 a.m.,2-18-2005,8:41 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,648,372288,"equipment failure, voltage reduction"
Severe Weather- Snow-Ice,2014,2-12-2014,7:48 AM,2-15-2014,4:30 AM,Southern Company,Northern-Northeastern Georgia,SERC,"1,246",373835,"severe weather, winter storm"
Severe Thunderstorms,2009,2-11-2009,6:18 p.m.,2-16-2009,8:10 p.m.,Allegheny Power,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,N-A,374644,"severe weather, thunderstorm"
Tropical Depression Ike,2008,9-14-2008,11:30 a.m.,9-14-2008,4:30 p.m.,Louisville Gas-Kentucky Utilities,State of Kentucky,RFC,N-A,375000,"severe weather, hurricane-tropical storm"
Severe Weather,2011,10-29-2011,9:59 AM,11-7-2011,1:00 PM,Jersey Central Power & Light Company,Northwest and Central New Jersey,RFC,UNK,379000,severe weather
Major Transmission Line Tripped due to Lightning Strike,2004,8-20-2004,3:31 p.m.,8-20-2004,9:45 p.m.,National Grid USA,"Boston, Massachusetts",NPCC,"22,700",380000,"severe weather, thunderstorm, transmission interruption"
Ice Storm,2009,1-27-2009,5:00 a.m.,1-29-2009,4:30 p.m.,Louisville Gas and Electric-Kentucky Utilities,State of Kentucky,RFC,N-A,383000,"severe weather, winter storm"
Winter Storm,2002,12-19-2002,6:00 AM,12-21-2002,5:00 AM,Pacific Gas & Electric,Northern and Central California,WECC,56,385000,"severe weather, winter storm"
Voltage Reduction  Line and Generator Trip,2013,7-3-2013,12:04 PM,7-3-2013,12:48 PM,Puerto Rico Electric Power Authority,System-wide Puerto Rico,PR,480,393000,"voltage reduction, generator trip"
